GeneID	Spleen_rep1	Spleen_rep2	Spleen_rep3	Spleen_rep4	Spleen_rep5	Spleen_rep6
XP_005561020.3	47.8121	51.8946	46.3151	49.3404	43.4713	
XP_005561029.3	2.54712	1.96544	2.97789	2.72981	3.53683	
XP_005561032.3	0.531662	0.421933	0.373117	0.619392	0.510837	
XP_005561033.3	0.861178	0.725747	1.20225	1.11798	0.564302	
XP_005561034.3	12.7833	10.4801	10.9375	13.3212	11.9603	
XP_005561035.2	58.0786	45.8065	42.7559	53.5935	53.5666	
XP_005561039.3	45.2419	33.6711	28.2139	35.836	37.8735	
XP_005561041.3	9.11503	6.83101	6.73853	6.3373	5.61699	
XP_005561042.4	2.02915	1.49621	2.22706	1.36102	1.41302	
XP_005561050.1	8.74112	9.58423	0.250016	9.39245	2.55191	
XP_005561051.3	40.7561	63.1771	100.304	50.1652	80.0889	
XP_005561055.3	151.837	225.798	347.421	289.398	372.375	
XP_005561060.1	0.0	0.31693	0.611386	0.251194	0.556501	
XP_005561061.1	0.0	0.0	0.0	0.0884418	0.0	
XP_005561065.1	0.0	0.0	0.0	0.0	0.0	
XP_005561068.1	6.54307	6.5012	5.81629	6.10254	8.64848	
XP_005561070.1	31.3288	28.1452	26.8583	27.2634	29.9251	
XP_005561073.1	0.0	8.96027e-08	0.349962	0.0	0.0	
XP_005561079.1	28.607	16.4439	42.8589	18.4883	8.72763	
XP_005561089.2	27.7827	24.4572	20.5391	19.2379	24.7111	
XP_005561091.2	2.98484	3.4486	1.83661	2.88871	2.19076	
XP_005561099.1	2.30276	0.357857	0.913681	0.980275	4.44723	
XP_005561102.3	0.0539257	0.00184513	3.29877e-05	0.0697704	0.24402	
XP_005561110.1	24.1028	14.9106	23.0151	12.9096	14.7475	
XP_005561126.3	3.45047	4.58619	3.39496	3.32368	4.43701	
XP_005561135.2	0.00400952	0.0	0.0	0.0097733	0.0385924	
XP_005561146.1	11.1711	8.7047	9.55901	7.67299	7.83753	
XP_005561162.2	0.0	0.0	0.0	0.0	0.0	
XP_005561163.1	0.656084	0.793677	0.280176	0.518027	0.65638	
XP_005561165.1	0.0465482	0.0503333	0.0215021	0.166507	0.0430502	
XP_005561177.1	0.11972	0.123091	0.0242947	0.194632	0.111901	
XP_005561179.3	0.00176742	0.0	0.0	0.00647161	0.0	
XP_005561184.1	0.0145966	0.127749	0.0639989	0.156661	0.0	
XP_005561185.2	19.3995	25.1883	13.7265	17.0829	20.4096	
XP_005561187.2	28.1086	20.4997	21.7007	22.5332	24.9571	
XP_005561195.3	113.78	114.847	74.7446	124.181	115.178	
XP_005561196.1	18.1359	19.0673	18.3664	16.9706	23.2606	
XP_005561198.3	0.000565914	0.0	0.0	0.0	0.0	
XP_005561210.3	15.6607	13.7335	13.5026	16.0921	14.9857	
XP_005561221.3	8.17311	7.85161	5.54574	8.8576	9.36074	
XP_005561233.1	22.2703	19.1604	11.5062	23.2351	23.5367	
XP_005561237.3	0.0	1.34102e-06	0.0	3.89412e-05	1.26331	
XP_005561239.3	6.2835	7.46791	6.79779	6.21318	7.28454	
XP_005561242.1	0.0	7.00871e-07	0.0695934	0.071701	0.0801714	
XP_005561246.1	1597.21	1964.24	2231.65	2019.57	2112.95	
XP_005561248.1	0.0	0.0	0.0	0.0	0.0	
XP_005561253.1	85.543	84.3932	65.9605	99.1743	85.5054	
XP_005561254.1	20.0713	14.5619	9.83587	21.647	22.444	
XP_005561255.1	94.5338	83.408	95.4305	86.6383	84.9027	
XP_005561269.3	0.236993	0.625079	0.944051	0.314971	0.0	
XP_005561270.3	12.7658	12.5832	8.07644	17.8958	14.5301	
XP_005561272.1	13.9909	14.3094	12.8759	11.2513	14.7724	
XP_005561279.1	10.6668	8.99419	9.49272	12.4158	13.3587	
XP_005561282.3	0.0	5.74647e-11	9.08154e-11	9.28634e-11	1.75597e-09	
XP_005561290.3	0.0	0.120257	0.0	0.802299	0.442108	
XP_005561292.1	15.0137	8.52934	6.77173	22.5881	20.5114	
XP_005561295.1	62.1024	47.0306	51.0185	37.0136	50.1893	
XP_005561296.2	0.02768	0.110055	0.0	0.0754976	0.153943	
XP_005561304.3	0.323602	1.13261e-05	0.0646947	0.743032	0.12684	
XP_005561309.1	78.1827	70.011	74.8934	80.6515	95.1539	
XP_005561312.1	152.757	176.601	184.598	144.103	144.948	
XP_005561315.2	2.19066	2.37968	1.57099	2.42609	3.05923	
XP_005561317.2	2.91155	1.02158	1.14758	3.93006	1.48106	
XP_005561319.3	0.00111805	0.0841331	0.0608967	6.41019e-05	4.72202	
XP_005561321.3	43.6418	41.0187	48.1227	35.9597	39.4143	
XP_005561323.3	2.96894	3.09295	5.38839	0.891192	3.36026	
XP_005561326.1	9.25086	6.68995	8.29279	5.81581	8.96407	
XP_005561346.1	5.97276	6.55821	10.9919	5.89954	5.35404	
XP_005561350.1	29.393	19.9636	26.525	15.9527	25.0276	
XP_005561351.1	21.5593	17.2236	19.3208	17.4993	19.4778	
XP_005561353.3	1.20454	1.24814	1.02697	1.63632	0.954285	
XP_005561357.1	11.2879	8.33256	20.7448	10.9466	10.0618	
XP_005561359.1	2.19319	1.04771	0.881186	1.65104	1.03634	
XP_005561363.2	2.53504	2.7736	3.59784	2.50597	2.87922	
XP_005561371.1	0.997039	21.1408	2.66842	17.2757	30.7895	
XP_005561372.2	1.75311	3.8519	4.72944	2.65923	3.71491	
XP_005561377.1	0.268914	0.635436	0.0	0.499798	0.950814	
XP_005561382.2	12.0814	11.7453	8.42115	14.7851	12.3042	
XP_005561383.2	0.0	0.0	0.0	0.0	0.0	
XP_005561392.2	0.11318	1.0417	1.97151	0.131398	3.62661	
XP_005561394.2	19.2959	8.4465	8.0126	14.0681	14.4607	
XP_005561397.1	0.0	0.0	0.0	0.0	0.0	
XP_005561403.1	23.0596	19.193	22.2193	16.3785	22.7409	
XP_005561404.1	15.8215	13.1593	12.7756	12.8605	14.7857	
XP_005561408.3	0.0	0.00564395	0.0	0.0166467	0.0	
XP_005561410.3	0.00799637	0.0348678	0.0	0.0122062	0.300723	
XP_005561413.1	0.257488	0.485759	0.508469	0.38813	0.734723	
XP_005561417.1	124.095	105.95	160.672	114.51	98.9112	
XP_005561419.1	39.6246	39.7611	38.755	41.107	34.7649	
XP_005561423.3	4.63684	2.44468	1.60937	3.59843	2.32438	
XP_005561435.3	5.02607	6.115	2.65747	4.36563	3.18964	
XP_005561438.1	0.0	0.0	0.0	0.0	0.0	
XP_005561442.4	1.09624	0.74662	1.53148	1.32323	1.47575	
XP_005561443.1	16.6421	5.2239	5.16324	9.68966	4.40841	
XP_005561444.3	0.455	2.15731	2.40158	0.869726	2.31632	
XP_005561445.3	95.5778	45.5655	72.3368	73.3675	67.349	
XP_005561461.3	1.46918	1.46885	0.479892	1.06408	1.24256	
XP_005561468.3	63.4492	78.3272	72.0934	69.5733	82.4221	
XP_005561474.2	0.00946731	0.0	0.0	0.0	0.0	
XP_005561482.2	0.155518	0.205165	0.0810285	0.662721	0.321609	
XP_005561483.3	24.1854	12.0935	13.8497	9.16951	9.04298	
XP_005561488.1	9.8287	10.9838	10.8682	11.9425	11.1107	
XP_005561491.2	0.102721	0.17335	0.0	0.164298	0.0	
XP_005561494.1	1.17765	2.06383	2.57698	1.20301	1.14785	
XP_005561495.2	0.307654	0.828368	0.494547	0.120059	0.251304	
XP_005561497.1	51.6728	32.895	42.9256	40.8049	38.8435	
XP_005561500.1	0.00277615	0.00312066	0.0	0.00678051	0.0	
