GeneID	Muscle_rep1	Muscle_rep2	Muscle_rep3	Muscle_rep4	Muscle_rep5	Muscle_rep6
XP_038411427.1	1.4826	0.987967	8.79109e-06	1.66833e-05	0.0	1.57229
XP_038411429.1	0.0	0.0	0.0	0.0	0.0	0.164336
XP_038411435.1	0.127248	0.106546	0.153538	0.557556	0.0	0.150108
XP_038411436.1	1.57664e-08	0.0	0.764294	0.71581	3.47006e-09	0.150623
XP_038411444.1	0.297097	0.274491	0.489544	0.631569	0.391474	0.140421
XP_038411445.1	0.544988	0.0	0.0	0.549729	0.594652	0.773356
XP_038411456.1	0.0	0.0	0.0	2.70928e-09	0.0	7.25798e-11
XP_038411460.1	0.0438179	0.0	0.0	0.0	0.0	0.0
XP_038411463.1	7.21696	5.54726	9.01564	9.36789	6.68477	6.24484
XP_038411466.1	0.00857781	0.00639645	0.0165206	0.0235585	0.00415957	0.00282146
XP_038411467.1	0.0	0.0943643	0.0	0.0	0.0	0.0
XP_038411470.1	0.236796	0.105247	0.145103	0.160054	0.27393	0.12972
XP_038411476.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038411488.1	0.0989144	0.0726867	0.0484009	0.0	0.0	0.0816994
XP_038411492.1	4.32249e-06	0.088073	0.0	0.269673	0.0528032	0.102296
XP_038411494.1	1.81719	0.942123	2.33485	1.04011	2.07703	1.07046
XP_038411508.1	0.0	0.0	0.0	0.0	0.102916	0.0
XP_038411515.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038411525.1	0.0	0.0	0.0	2.02475e-10	0.0	2.5033e-06
XP_038411528.1	5.62485	0.0	0.0	0.10211	0.0	0.203116
XP_038411529.1	17.2642	0.0676541	0.0290657	0.0695449	1.52683	0.404596
XP_038411531.1	0.0176543	0.0646436	0.0	0.0494639	0.0425945	0.0
XP_038411532.1	6.98026	5.30128	5.91237	5.63946	8.3824	6.24589
XP_038411533.1	3.86659	4.4009	3.76197	4.49516	3.38447	3.28134
XP_038411537.1	44.0309	50.3717	42.4351	47.5922	55.6399	50.3794
XP_038411540.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038411559.1	0.0	2.38566e-05	0.0	4.80796e-08	1.41081e-10	0.0
XP_038411562.1	0.0	0.0	0.0	0.0	0.0	0.0469906
XP_038411570.1	0.0	0.0520189	0.171274	0.0	0.0	0.0232386
XP_038411572.1	8.65492e-05	6.4378e-06	1.04047e-06	1.35586e-09	5.21688e-06	1.3146e-06
XP_038411579.1	12.0246	3.76697	6.72506	6.15283	21.2798	8.16886
XP_038411583.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038411592.1	0.00908904	0.00685132	0.0088417	0.0302213	0.0178508	0.00907495
XP_038411593.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038411616.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038411622.1	0.583409	0.362474	0.432433	0.391556	0.385024	0.247389
XP_038411624.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_038411625.1	1.7011	0.35524	1.34117	1.06774	1.67112	1.15392
XP_038411626.1	0.0	0.0283356	0.0	0.0	0.0	0.0
XP_038411627.1	31.7517	27.701	30.4474	26.7985	30.8711	31.5923
