gene_id	muscle_dietM	muscle_dietP	whole_body_dietM	whole_body_dietP
FBpp0202920	6.75981	7.68108	26.3387666666667	26.6104666666667
FBpp0202922	1.23298666666667	1.08925666666667	13.0274333333333	11.9501
FBpp0202923	9.19299666666667	10.32908	28.0455	24.3690666666667
FBpp0202924	58.6899	30.8786	58.9937666666667	38.1006666666667
FBpp0202925	1.24314233333333	0.788575666666667	1.03294166666667	0.814908333333333
FBpp0202926	27.0527666666667	23.9046	48.4391666666667	42.3501333333333
FBpp0202927	3.56268	3.5107	7.7244	8.00455666666667
FBpp0202928	1.007226	1.08053133333333	3.85465333333333	3.06440666666667
FBpp0202929	10.6653833333333	13.7804866666667	60.4386666666667	49.6668333333333
FBpp0202930	96.9783333333333	100.2745	101.003966666667	99.2892333333333
FBpp0202931	32.2201666666667	33.4236	48.7078333333333	48.9078666666667
FBpp0202932	8.36495	9.48470666666667	15.4392	15.6008
FBpp0202933	0.492552666666667	0.20981	4.13398	4.51052333333333
FBpp0202934	0.1630782	0.135745966666667	1.10760033333333	1.325056
FBpp0202935	1657.90666666667	973.008	369.162333333333	261.967666666667
FBpp0202936	6.32709333333333	2.93575666666667	104.7167	94.7565
FBpp0202937	3.97406	2.40245333333333	131.618766666667	106.323133333333
FBpp0202938	67.6348333333333	66.9175666666667	30.8848666666667	30.5506
FBpp0202939	1.96075666666667	1.49443333333333	1.22971333333333	1.74731333333333
FBpp0202940	15.6231	16.8257333333333	19.7722666666667	17.6404666666667
FBpp0202941	0.0112677666666667	0.0	0.739830133333333	0.563390333333333
FBpp0202942	7.23511	0.645719666666667	8.54734666666667	60.26119
FBpp0202943	18.3186433333333	5.08519333333333	44.0979333333333	47.1018333333333
FBpp0202944	0.261124333333333	0.333829	12.40798	18.7821
FBpp0202945	0.0568375666666667	0.0450003333333333	0.740271666666667	0.843843333333333
FBpp0202946	6.58654	7.72953	19.3379333333333	20.1931
FBpp0202947	0.0516176666666667	0.0	0.653914666666667	0.523712333333333
FBpp0202948	1.17915066666667	1.095556	6.62748666666667	7.45150333333333
FBpp0202949	1.91087	2.38067666666667	15.3473333333333	16.4090333333333
FBpp0202950	7.16892666666667	8.32562	16.8256333333333	17.0147
FBpp0202951	0.0	0.0294401666666667	0.544393333333333	0.470959333333333
FBpp0202952	0.0230706333333333	0.0418707	11.5149533333333	13.0662333333333
FBpp0202953	0.036309	0.101333333333333	0.253598666666667	0.256644
FBpp0202954	0.215616666666667	0.415208666666667	0.553853666666667	0.258708
FBpp0202955	26.7237666666667	26.8607333333333	48.4570666666667	48.5932666666667
FBpp0202956	0.187662	0.0914304333333333	0.264288	0.263734666666667
FBpp0202957	0.0655506666666667	0.0161970333333333	3.97489	5.01600333333333
FBpp0202958	6.46662333333333	6.81164	14.8577	14.6617333333333
FBpp0202959	8.12594666666667	8.90010666666667	17.6641	17.5076
FBpp0202960	0.0700307333333333	0.0293047	12.8832033333333	16.2796333333333
FBpp0202961	0.0688100333333333	0.0968657666666667	4.28225333333333	3.71396666666667
FBpp0202962	1.93282666666667	2.08536666666667	5.03724333333333	4.68830333333333
FBpp0202963	0.191660066666667	0.631046	0.454365	0.346751666666667
FBpp0202964	0.0	0.0	0.0	0.0
FBpp0202965	0.0699920333333333	0.199021666666667	0.1853162	0.128194333333333
FBpp0202966	0.0333976666666667	0.0330090333333333	0.109173033333333	0.0619425666666667
FBpp0202967	0.175934333333333	0.181388	4.19110333333333	3.63276
FBpp0202968	8.22902	9.90943666666667	13.1468666666667	12.7153
FBpp0202969	1.30840266666667	1.39894933333333	19.8458333333333	17.6401
FBpp0202970	0.120086133333333	0.0569459	0.146358166666667	0.0674498333333333
FBpp0202971	56.3564333333333	49.0467666666667	76.1661333333333	65.9317
FBpp0202972	0.0	0.0	0.488231	0.47693
FBpp0202973	9.28709333333333	9.05046333333333	18.9671666666667	17.8737333333333
FBpp0202974	0.0163061666666667	0.0053722	1.39893	1.72020333333333
FBpp0202975	13.1869	13.5860666666667	25.9907333333333	25.6580333333333
FBpp0202976	4.26859333333333	4.93893	14.7400666666667	16.5782
FBpp0202977	910.058666666667	1083.05533333333	1561.19666666667	1672.72
FBpp0202978	12.2583	11.6107	21.4523	21.3579
FBpp0202979	5.25458333333333	5.17417	8.32330666666667	7.88544333333333
FBpp0202980	5.64307	9.96868333333333	24.2646666666667	23.2788
FBpp0202981	0.126800666666667	0.0	12.97779	16.5571666666667
FBpp0202982	9.86246333333333	14.3741333333333	37.7754	35.5516333333333
FBpp0202983	0.0	0.0	0.210940333333333	0.120569666666667
FBpp0202984	0.0	0.0	0.0	0.0
FBpp0202985	0.0904452666666667	0.0670129333333333	7.83574333333333	9.83920666666667
FBpp0202986	4.54572666666667	5.18079666666667	10.98203	11.0340666666667
FBpp0202987	4.50196666666667	4.79361	12.1794666666667	12.1035333333333
FBpp0202988	20.2093333333333	22.9980333333333	51.4726666666667	55.4614666666667
FBpp0202989	8.40483333333333	6.5113	9.97605666666667	8.95262666666667
FBpp0202990	0.176875	0.276778	1.47712766666667	0.711675333333333
FBpp0202991	6.9358	6.80603333333333	8.2905	6.85671666666667
FBpp0202992	6.72847333333333	5.98932333333333	13.7524	9.78957333333334
FBpp0202993	171.085	166.885	275.04	234.722333333333
FBpp0202994	15.9368333333333	18.6195	51.0814333333333	48.2552
FBpp0202995	0.046529	0.0048071666666666	7.54785333333333	8.51398
FBpp0202996	154.674	165.316666666667	98.4071666666667	105.7661
FBpp0202997	33.8588666666667	36.6365	74.3153666666667	68.2605666666667
FBpp0202998	6.53582666666667	6.86128	21.9155	23.2941333333333
FBpp0202999	40.9379	36.9557666666667	21.5821	19.9281666666667
FBpp0203000	0.470214	0.334527666666667	9.46818666666667	7.15475
FBpp0203001	16.7579	16.1990333333333	39.8211	39.8849
FBpp0203002	10.95232	12.8357666666667	17.2759666666667	17.3681333333333
FBpp0203003	37.3447333333333	44.2070666666667	24.0525	25.5854
FBpp0203004	33.1264333333333	44.1132333333333	23.9864333333333	27.4573666666667
FBpp0203005	7.99125666666667	11.0535266666667	15.1795666666667	16.0592
FBpp0203006	2.21887666666667	1.49933666666667	31.5804666666667	28.4231333333333
FBpp0203007	5.74493	7.28921666666667	24.3744	21.4387
FBpp0203008	36.2977666666667	52.7414	69.5448666666667	61.9232666666667
FBpp0203009	31.6133	43.1210333333333	80.7789666666667	73.8878333333333
FBpp0203010	23.7009666666667	21.3411	32.5541	29.1604333333333
FBpp0203011	33.287	36.2237	67.0832666666667	71.4395
FBpp0203012	0.0090892	0.0210227	0.222776666666667	0.202841333333333
FBpp0203013	0.0495449333333333	0.0	3.22941	4.29119666666667
FBpp0203014	0.166581666666667	0.1554996	3.08332333333333	4.2483
FBpp0203015	0.494373333333333	0.326358666666667	0.189189633333333	0.393427
FBpp0203016	0.090241	0.0	13.9209466666667	18.8886
FBpp0203017	5.52205333333333	6.59173333333333	20.5726666666667	19.7113333333333
