GeneID	Adipose_rep1	Adipose_rep2	Adipose_rep3	Adipose_rep4	Adipose_rep5	Adipose_rep6
NP_034200.4	9.68539	6.73841	6.95641	9.15007	11.7482	9.14652
NP_034202.1	19.2186	15.21	15.4482	19.0712	15.7452	13.1207
NP_034203.1	70.8284	71.1551	77.1461	72.6682	70.4599	72.7855
NP_034204.1	25.1575	19.9416	19.5041	10.7385	26.0177	25.4863
NP_034206.1	0.532714	0.359847	6.33206e-09	1.35276	0.795802	1.15924
NP_034207.2	0.0	0.0	0.0	0.0	0.0	0.0
NP_034209.2	0.0268738	0.0299168	0.163778	0.0433997	0.0384801	0.0190546
NP_034210.2	0.0	0.0	0.0	0.0149637	0.0	0.0
NP_034212.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_034214.2	0.0	0.0	0.0	0.0	0.0	0.0
NP_034215.2	0.0	0.0	0.0	0.0	0.0	0.0
NP_034216.3	0.0	0.0	0.0	0.0	0.0	0.0
NP_034218.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_034219.3	0.0	0.0	0.0	0.0	0.0	0.0
NP_034220.2	1.65296	0.760027	1.66559	1.38395	0.961781	1.15635
NP_034224.1	3.55226	3.89903	4.53948	2.2913	2.70586	2.51185
NP_034225.1	0.500301	0.197367	0.232581	0.208325	0.769649	0.162036
NP_034227.3	270.203	214.701	225.952	176.157	175.729	170.901
NP_034228.1	87.3542	68.9213	91.7872	64.9853	55.2246	75.3881
NP_034229.1	0.198023	1.32621	1.92675	0.543079	1.39456e-06	1.45969e-07
NP_034231.1	10.3392	10.8049	11.1214	12.8673	12.1813	15.0122
NP_034232.1	3.24068	2.35105	1.92229	2.16846	2.33386	2.53156
NP_034234.1	7.34322	7.28117	6.37592	5.14707	7.82471	8.90282
NP_034236.2	4362.09	4474.28	4534.8	3707.51	4075.25	4211.54
NP_034237.3	22.4577	19.0922	17.7009	20.5022	24.1727	19.0831
NP_034238.1	0.0	0.665866	0.0	4.69228e-09	0.0	0.22186
NP_034240.1	30.0443	23.5838	30.3566	28.0394	27.7144	29.5257
NP_034241.2	10.599	7.3217	8.64042	8.21525	9.91368	9.93894
NP_034242.2	30.5876	14.2146	20.6854	11.8641	12.8628	14.6088
NP_034244.1	0.0	0.0	0.0	0.0	0.563298	0.0
NP_034246.1	0.061165	0.0	0.0955012	0.0	0.640827	0.0
NP_034249.1	89.8197	102.517	111.167	85.106	80.6254	104.82
NP_034251.2	12.0608	9.91457	13.7789	11.7934	14.3852	13.3261
NP_034253.3	77.1001	84.3971	87.962	80.2117	74.1575	75.949
NP_034254.1	74.7277	64.7467	77.3244	80.8397	80.7753	88.4693
NP_034255.2	0.0	0.0	0.0	0.0	0.0	0.0
NP_034258.1	306.6	98.0063	354.18	461.444	493.433	541.392
NP_034259.2	120.27	123.903	159.419	119.576	150.625	172.586
NP_034260.1	38.6886	29.9895	30.901	31.3848	35.7729	36.2044
NP_034261.1	0.0805511	0.0	0.0629441	0.0	0.0	0.0
NP_034262.2	7.16018	4.37029	5.4885	0.832641	1.10598	1.2866
NP_034263.2	0.151334	0.324469	0.414248	0.111031	0.340327	0.280575
NP_034264.1	0.0	0.0389923	0.0	0.0	0.0166058	0.0107535
NP_034266.2	0.480809	1.49416e-10	0.309541	0.34878	0.321879	0.370193
NP_034267.3	154.866	119.834	132.551	132.506	143.597	145.663
NP_034269.2	3.22824	3.42536	3.85826	4.33046	6.70937	5.83637
NP_034270.1	0.137784	0.130184	0.345681	0.46091	0.0847301	0.200748
NP_034271.3	0.00010488	0.000179661	0.0	0.0	9.70149e-05	6.14775e-05
NP_034273.1	4.72788	2.83749	4.2103	2.6386	3.24957	3.64044
NP_034275.1	93.5867	91.3901	71.2158	72.0016	122.797	81.1436
NP_034276.2	5.84727	3.4097	4.70223	3.30827	5.08293	4.35296
NP_034279.3	6.52348	2.48838	1.6202	5.00599	1.10297	1.48938
NP_034280.2	16.1985	3.80322	24.3662	17.6446	18.9461	19.8829
NP_034281.2	5.98175	4.98948	7.09685	6.57649	7.35732	9.84206
NP_034283.1	1.91756	0.974385	1.07334	0.979555	3.05387	1.11384
NP_034286.2	25.8829	19.1202	20.9018	18.4622	20.2579	21.8023
NP_034288.2	1.66347	2.16047	5.2874	4.92509	6.22446	4.43741
NP_034291.1	41.7971	29.9446	27.9075	26.3491	32.9096	34.6721
NP_034292.2	53.0431	48.343	53.3619	41.619	42.5366	47.7229
NP_034293.2	41.9493	40.3504	42.1219	44.2362	50.07	52.5867
NP_034295.1	0.166827	0.616021	0.254175	0.0	0.422574	0.327957
NP_034298.1	0.0	0.0	0.0386648	0.0	69.302	0.0
NP_034299.2	7.13501	5.81514	4.80864	7.91917	8.95668	7.25273
NP_034300.3	0.649883	0.310578	0.348458	0.933872	1.22293	1.65441
NP_034301.3	68.6708	80.8855	118.168	69.3334	52.7679	73.0411
NP_034302.2	0.102188	0.335532	0.212899	0.323595	5.25687	1.41923
NP_034303.3	0.397061	0.378005	0.428894	0.282466	5.16016	1.46409
NP_034304.1	3.95832	1.65401	1.90039	0.577642	1.13119	0.674274
NP_034305.1	13.5071	12.7257	15.238	12.86	13.8375	14.2399
NP_034306.2	229.529	222.503	219.402	199.983	200.693	212.706
NP_034307.1	0.474975	0.232635	0.139813	0.413879	0.0	0.181953
NP_034310.2	18.3617	16.2924	22.1447	9.77667	20.1688	26.2934
NP_034311.2	0.0	0.0	0.0	0.0	0.0	0.0326066
NP_034313.2	30.6118	25.6126	31.8207	29.4903	30.4559	33.0008
NP_034314.2	0.339853	0.914347	1.09758	0.0	0.785276	0.625273
NP_034315.1	161.88	171.897	177.322	153.237	170.479	220.468
NP_034316.1	8.53171	7.10157	7.39654	5.12318	4.08664	5.42719
NP_034318.2	101.556	96.1902	96.5155	88.7223	103.846	125.197
NP_034321.2	0.0	0.0	0.554658	0.101537	0.0	0.0
NP_034322.3	15.4742	14.5981	17.8388	12.3804	13.0467	14.5823
NP_034323.1	8.72236	8.45659	9.93011	7.65932	8.53486	8.37485
NP_034324.2	6.6278	7.76229	5.18884	2.77913	13.9041	8.65351
NP_034325.2	0.366409	0.318961	0.547322	0.0601142	0.456333	0.0668047
NP_034332.2	0.0	0.0	0.0	0.0	0.0	0.0
NP_034333.1	0.0177809	0.0	0.0	0.0	0.0	0.0
NP_034334.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_034336.2	22.0969	17.8048	20.5227	27.1751	23.7722	31.0445
NP_034337.2	5.94713	4.04948	4.19348	4.56112	3.28172	5.31451
NP_034338.3	3.03558	2.71993	2.20452	2.39136	3.86953	3.09583
NP_034339.2	140.664	170.009	157.524	152.817	131.628	141.029
NP_034342.1	2.27639	3.34565	2.93159	4.24791	4.62462	4.75182
NP_034344.2	0.458241	0.537443	0.60786	0.468899	0.365289	0.377772
NP_034345.2	2.16654	1.30067	2.73423	1.91613	1.65364	1.2971
NP_034346.1	40.0423	39.1849	37.7048	27.2253	33.6631	34.4273
NP_034347.2	11.8411	8.02798	9.28441	23.5586	35.4777	21.6809
NP_034348.2	1.39196	1.97634	1.76883	1.75345	1.91236	1.20015
NP_034349.1	65.1547	79.1024	86.2953	61.556	68.6461	63.066
NP_034350.1	5.6231	6.36014	10.1611	19.9501	20.5163	35.9908
NP_034351.2	25.0634	23.8025	33.8751	18.2334	24.4182	24.9744
NP_034352.1	65.2701	67.5565	72.721	56.8852	68.6158	76.6409
NP_034355.2	0.274189	0.233521	0.233792	0.169812	0.322139	0.253776
NP_034356.1	6.85208	6.50317	7.06262	6.70641	7.40637	5.15705
NP_034358.2	5.49021	2.87509	5.93065	6.51815	2.6815	5.57155
NP_034359.2	0.500478	0.754982	0.752346	0.386554	0.399859	0.696921
NP_034360.2	0.0260046	0.0	0.0	0.0	0.0	0.0
NP_034361.1	12.5023	4.85611	5.1099	11.4041	18.5151	8.2482
NP_034362.2	3.05585	0.758045	1.06651	2.45603	2.49698	1.685
NP_034363.1	5.77207	8.56931	12.033	4.82491	2.78394	5.08867
NP_034364.1	11.6155	14.1075	8.01313	7.48971	9.57356	6.80902
NP_034365.1	0.173499	0.148655	0.0869027	0.150606	0.085455	0.262546
NP_034367.2	0.0	8.58523e-06	0.207724	0.0881689	0.225454	0.598744
NP_034368.2	2.32008	0.270092	0.837349	1.72359	0.388185	1.89696
NP_034369.1	3188.35	2939.03	2851.72	3416.19	3516.71	3785.64
NP_034370.2	3726.59	5209.2	3378.16	3834.05	4126.77	3878.36
NP_034372.1	1.72881	0.924172	0.964565	0.901407	0.954468	0.994083
NP_034373.1	0.0163864	0.00732425	0.0100069	0.0106303	0.00940287	0.0163383
NP_034374.2	7.58105	6.29116	8.50856	8.38051	6.70808	6.6013
NP_034376.1	0.0	0.187063	0.158277	0.068051	0.0891466	0.0448701
NP_034377.2	19.7638	23.8391	19.5759	16.6153	16.8214	18.7614
NP_034378.2	12.6509	13.0252	13.5187	17.1679	15.6682	16.9498
NP_034382.2	0.0	0.0	0.0	0.0	0.0	0.0
NP_034384.3	0.0603766	0.133987	0.0	0.0872884	0.201856	0.0285614
NP_034386.2	15.7579	18.1025	25.5846	13.8633	21.3203	12.2613
NP_034387.3	0.167672	0.0	0.0	0.0	0.0	0.0
NP_034389.2	2.51812	0.434042	0.458143	0.53972	0.904141	0.430304
NP_034390.1	137.674	73.3077	70.564	82.3517	74.4364	74.5333
NP_034391.1	313.882	285.927	267.425	299.718	284.608	320.24
