GeneID	Colon_rep1	Colon_rep2	Colon_rep3	Colon_rep4	Colon_rep5	Colon_rep6
NP_032512.2	4.44685	5.14792	5.02371	8.14364	9.5268	5.39526
NP_032515.2	4.67295	4.50413	4.80956	4.50814	6.72263	5.43633
NP_032516.2	1.9165	2.69383	1.62116	1.47149	1.5529	1.25156
NP_032517.1	4.60681	5.17515	3.19872	3.94907	4.90661	3.65876
NP_032519.1	1.39009	0.651997	0.856494	0.853175	1.10816	0.741066
NP_032520.1	12.3149	14.5109	12.6318	16.5946	17.8149	12.9105
NP_032521.1	288.686	413.559	290.751	288.435	310.829	317.761
NP_032522.2	0.536368	0.878208	0.296945	0.0234328	1.45891	1.05826
NP_032523.2	0.540919	0.0	0.13715	0.0	0.0	0.0
NP_032524.1	0.00884609	0.0102413	0.0	0.0	0.0100304	0.0
NP_032525.1	0.184092	0.178555	0.178231	0.229411	0.189669	0.105669
NP_032526.2	0.181584	0.209477	0.0	0.0	0.0	0.0
NP_032527.1	2.55068e-05	0.704348	0.600168	0.0	0.0	1.04496
NP_032529.2	1611.42	1530.68	1719.64	1743.63	1923.28	1679.72
NP_032530.1	0.413945	1.12781	0.0	0.0	0.0	0.0
NP_032531.2	2.8504	1.24977	1.85843	1.7754	2.80567	1.20095
NP_032533.1	3.87575	5.95036	6.94606	6.66068	8.38857	2.53557
NP_032534.2	0.181211	0.157704	0.18268	0.57246	0.438519	0.073237
NP_032535.2	34.6386	36.8901	34.1672	38.6074	41.2241	26.5702
NP_032536.1	1.43684	1.54295	6.22485	1.37102	10.1608	2.59567
NP_032539.2	16.2478	22.1756	26.6834	27.0397	34.0786	28.3074
NP_032540.2	11.5197	18.2941	18.4307	16.2309	7.8619	12.6728
NP_032542.1	1.01469	0.741458	0.694693	0.51206	0.860383	0.53996
NP_032543.2	77.7423	92.5948	103.121	97.8337	95.2232	94.3699
NP_032544.1	1.86786	2.31231	4.33102	2.3665	8.05386	1.93469
NP_032545.1	0.657703	0.533146	0.915563	0.890432	1.41627	0.870128
NP_032548.2	0.069331	0.032133	0.111774	0.0411986	0.299199	0.0
NP_032550.2	60.6423	65.4031	93.639	68.0799	111.84	77.6053
NP_032551.3	7.83765	9.80836	11.518	11.2152	11.8145	11.9899
NP_032554.2	75.3907	100.219	106.925	100.793	102.465	103.185
NP_032556.1	0.0553672	0.0	0.0	0.0	0.0	0.0
NP_032558.2	1195.15	1493.69	1563.47	1414.5	1324.4	1395.86
NP_032559.2	0.0	0.488579	0.950018	0.552362	1.49351	1.09253
NP_032560.2	0.522741	0.285744	1.66454	0.374362	1.20267	0.672702
NP_032561.2	0.163167	0.0	1.13558	1.49131	0.279124	4.19326
NP_032562.1	0.0	0.0	0.0	0.395977	0.0742501	0.0
NP_032563.2	13.0433	14.7059	13.0829	13.1992	14.6029	13.1764
NP_032564.1	34.6299	47.6887	49.6523	46.4444	51.2778	36.5362
NP_032565.2	18.0963	24.4555	26.6777	24.1961	30.1279	21.2671
NP_032566.2	19.9571	22.5563	24.9212	26.3356	21.8298	23.2119
NP_032567.1	12.1607	18.6507	20.1835	23.1827	14.2465	20.9122
NP_032568.3	7.92731	8.14022	9.70586	10.0454	12.4668	8.12159
NP_032571.2	0.0834109	0.0	0.0511417	0.0	0.0	0.0538666
NP_032572.3	6.39927	6.51748	6.48038	7.00155	7.73642	7.98647
