GeneID	Lung_rep1	Lung_rep2	Lung_rep3	Lung_rep4	Lung_rep5	Lung_rep6
XP_015290877.3	0.0	0.0	0.0	0.0	0.0	0.0
XP_015290878.3	0.0	0.0	0.0	0.0	0.0	0.0
XP_015290879.2	0.231682	0.517046	0.104528	0.0872404	0.603128	0.172951
XP_015290881.1	7.64134	7.38456	10.5456	8.3374	9.13553	7.38295
XP_015290897.3	0.0	0.178145	0.0	0.0	0.0	0.0
XP_015290916.1	7.23797	2.5014	5.61831	12.2436	6.59646	6.99524
XP_015290928.3	0.186635	0.490397	0.0	0.0239851	0.0855687	0.0
XP_015290930.1	0.0342522	0.00342177	2.39665	1.73177	3.37309e-05	2.52705
XP_015290949.3	4.68821e-08	2.7983e-05	0.285978	0.185859	0.000109379	4.82577e-06
XP_015290954.1	0.436165	0.657479	0.512305	2.26863	0.38006	1.69489
XP_015290965.3	0.0	0.0	0.339339	0.0	0.0	0.0
XP_015290967.1	2.84175e-10	0.0	0.0	0.0	0.0	0.0
XP_015290971.1	4.97327	2.86864	4.68727	3.6692	2.45715	2.04001
XP_015290975.1	0.320963	0.201784	4.64533	0.45648	1.03918	0.0573523
XP_015290987.3	0.0117923	0.0162039	0.0184142	0.0097835	0.0177893	0.0325791
XP_015291020.2	0.0	0.0	0.0	0.0	0.0	0.0
XP_015291027.3	0.0	0.0	0.0299121	5.34437e-11	0.0	0.0
XP_015291071.2	0.00177117	9.44522e-09	0.0	0.0	2.50862e-07	0.0
XP_015291084.3	0.000436628	3.2687e-05	4.64227e-06	0.00018635	0.00257732	1.42285e-05
XP_015291096.3	0.0803523	0.0521969	0.147567	0.081377	0.0	0.0
XP_015291123.3	0.172175	0.361946	0.110617	0.310171	0.327383	1.55877
XP_015291127.2	0.16667	0.0264981	3.27284	0.353814	0.0932883	0.0
XP_015291131.3	0.677682	1.35808	1.72099	0.975346	0.748125	0.983382
XP_015291133.3	2.89846	3.37302	4.07136	3.35598	3.08921	3.12063
XP_015291136.3	96.2855	108.332	92.6841	52.2168	77.8063	86.0031
XP_015291152.3	0.416981	0.28101	1.37051e-05	0.0	0.251656	4.96539e-07
XP_015291157.3	0.0	0.0	0.0	0.0	0.0	0.0
XP_015291167.1	60.5088	73.763	94.7659	67.4739	59.0266	64.9497
XP_015291180.3	0.278295	0.312886	0.8691	0.606141	0.496981	0.436802
XP_015291192.2	18.9363	21.2078	17.8241	20.0553	20.752	16.8156
XP_015291229.1	6.18763	6.21376	11.4737	6.55918	8.44524	4.20553
XP_015291243.3	0.0	0.0	0.0	0.0	0.0	0.0
XP_015291256.3	10.9869	7.60717	9.60661	15.5402	9.21091	10.8436
XP_015291261.1	10.6071	3.96026	2.16054	6.77932	11.4233	13.5059
XP_015291262.3	0.0	0.0	0.0	0.100777	0.0	0.0
XP_015291266.3	0.0569405	0.0544357	0.0487977	0.0486334	0.795918	0.0322238
XP_015291310.1	2.90679	2.86265	2.40017	2.13859	1.86307	1.01345
XP_015291373.2	0.30475	0.814076	1.01671	0.820362	0.502948	1.12323
XP_015291427.3	0.0	0.0	0.0	0.0	0.0	1.09727e-07
XP_015291443.1	0.0234384	0.0	0.16098	0.243306	0.270508	0.0
XP_015291445.2	0.0	0.0	0.0	0.0	0.0	0.0
XP_015291468.2	0.0178067	0.0283683	0.9606	0.644118	0.0270459	0.0365171
XP_015291497.3	0.0	0.0	0.0087826	0.0	0.0	0.0
XP_015291504.3	0.00667462	5.03252	1.51035	0.00905679	3.4585e-05	0.015619
XP_015291508.3	59.5078	32.8829	25.0483	44.1232	32.7781	31.4008
XP_015291509.1	0.0	0.0	0.0	0.0	0.0	0.0
XP_015291515.3	0.0	0.0	0.0	0.0	0.0	0.0
XP_015291516.3	0.0	0.00964526	0.00445721	0.0	0.0223959	0.0
