GeneID	Skin_rep1	Skin_rep2	Skin_rep3	Skin_rep4	Skin_rep5	Skin_rep6
NP_035065.1	0.0954663	0.0	0.0	0.0	0.0	0.02018
NP_035066.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_035067.2	39.0168	40.8812	41.7825	35.017	39.78	29.944
NP_035071.3	28.5587	34.0239	31.8691	40.4777	29.4318	30.1915
NP_035072.2	7.71858	4.47874	6.56002	5.25037	6.11082	4.08725
NP_035076.1	28.1417	23.2563	37.2515	45.1092	33.6835	28.1136
NP_035077.1	0.381244	0.25587	0.542033	0.492001	0.345492	0.369111
NP_035078.1	108.77	132.749	110.84	112.348	117.601	108.674
NP_035081.3	0.133323	0.0	0.090617	0.0	0.0	0.239897
NP_035082.1	93.4369	93.8146	106.571	87.9751	85.3405	109.172
NP_035087.3	8.31082	2.81203	6.85546	6.31153	6.84423	4.03298
NP_035089.1	0.060265	0.148512	0.0684397	0.022202	0.457991	0.0954436
NP_035100.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_035110.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_035113.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_035114.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_035120.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_035121.1	0.0	0.0	0.109104	0.0	0.0	0.0
NP_035127.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_035128.2	0.0	0.0489579	0.0	0.0	0.0	0.0
NP_035129.2	0.0	0.0	0.0879787	0.0	0.0	0.0
NP_035131.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_035132.2	0.0	0.0	0.0	0.0	0.0	0.0
NP_035140.1	1.35875	0.53968	0.660688	0.628963	0.842081	0.346146
NP_035144.1	58.0182	46.5887	58.0429	47.9592	42.8838	42.6177
NP_035145.2	0.588202	0.874208	0.774545	1.20193	0.981789	1.25076
NP_035148.1	225.367	205.801	209.482	213.031	210.967	227.326
NP_035149.2	27.3358	20.4503	15.6796	21.7149	16.1505	16.0881
NP_035150.3	6.14583	15.0955	9.60213	8.66524	2.55182	6.35451
NP_035151.1	0.0383802	0.0462668	0.0830758	0.0885793	0.034733	0.0311255
NP_035152.1	0.0	0.0	0.0	3.22307e-07	0.0	0.0
NP_035153.1	0.0143295	0.0902177	0.0818404	0.0422599	0.0209029	0.0
NP_035156.2	62.1432	26.3163	27.713	32.145	41.2034	26.5466
NP_035157.2	7.22862	10.2549	7.08704	8.20126	4.88205	5.65009
NP_035158.2	3.51931	1.88341	2.10041	1.61777	1.40013	2.84561
NP_035159.3	885.11	981.177	876.049	1085.55	1093.62	853.641
NP_035160.1	11.6724	15.6617	12.346	14.8644	12.641	8.92828
NP_035162.1	263.028	263.322	303.766	284.067	250.901	253.444
NP_035163.1	0.0	0.0142605	0.0	0.0	0.0230274	0.02018
NP_035164.1	410.118	426.047	440.848	463.972	392.494	412.125
NP_035166.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_035168.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_035170.1	0.0961715	0.143661	0.072796	0.0708522	0.0	0.630291
NP_035171.1	0.0628642	0.00936042	0.0418429	0.103355	0.0545846	0.0
NP_035174.1	30.1334	18.4846	24.1933	19.1496	58.7246	26.0233
NP_035175.1	146.226	128.228	138.971	147.557	132.591	121.353
NP_035178.1	23.8851	25.2138	28.9589	23.8726	31.6289	18.6617
NP_035179.1	88.6541	82.4644	83.8364	81.7174	77.3186	85.1424
NP_035180.2	0.0	0.184848	0.697136	0.0	0.640113	0.0
NP_035181.1	28.3111	29.6735	27.7107	26.4249	26.6744	24.9323
NP_035183.2	14.0613	13.5154	14.6396	15.1714	12.4301	12.8795
NP_035185.2	11.0964	2.51512	5.7928	2.36132	4.27462	4.31018
NP_035187.2	12.8367	12.1802	9.63782	10.2356	8.18828	10.2337
NP_035188.2	34.3728	14.5733	32.7062	17.0552	23.7786	13.1909
NP_035189.1	0.376596	1.03276	0.123759	0.142223	0.91023	0.159893
NP_035190.3	0.922075	2.96789	0.119724	0.640718	2.20696	0.116555
NP_035191.2	7.29641	3.5738	8.30524	2.36474	5.27946	1.63837
NP_035192.2	5.27494	7.89025	0.0770745	3.25032	0.0	2.74561
NP_035193.1	124.267	86.7531	114.226	104.972	101.129	90.2229
NP_035195.2	26.3851	38.7558	2.59233	33.7357	0.110634	15.4982
NP_035196.2	7.62012	6.50557	2.9038	8.595	5.86671	9.27801
NP_035198.1	10.1359	14.0322	9.83568	14.9332	8.2907	10.5077
NP_035199.3	12.2902	13.7362	13.0529	14.6041	8.75205	10.6288
NP_035200.2	23.9882	27.2005	23.8814	25.5222	23.3648	25.7153
NP_035202.1	564.484	445.623	673.084	505.942	602.689	474.45
NP_035203.3	0.0	0.448448	1.94279	0.750406	0.663246	0.0
NP_035204.2	7.59107	3.3677	3.19441	3.08116	2.55175	2.73154
NP_035205.1	8.75393	7.36911	8.68732	8.02799	7.92481	6.75037
NP_035206.2	4.6279	3.90293	3.04225	4.55198	4.05151	3.03446
NP_035207.1	0.175961	0.0946886	0.297933	0.0617885	0.200576	0.0918366
NP_035208.2	32.1271	29.579	30.0401	27.7911	26.1444	24.1501
NP_035209.1	38.3767	41.5676	38.4192	26.4001	29.8746	53.1536
NP_035211.2	7.77486	9.89066	9.4777	9.83879	6.2934	7.02723
NP_035212.2	0.716447	1.96688	0.480662	0.744914	7.68606	0.590014
NP_035213.2	4.35356	4.06448	5.69024	5.55823	1.92102	4.34535
NP_035227.1	1.16734	0.879629	0.888544	0.796947	0.0	1.80463
NP_035232.1	0.0	0.0	0.793294	7.77768e-10	0.0803028	0.0
NP_035234.1	4.85704	2.6703	3.86232	2.25364	2.58658	2.86233
NP_035235.2	0.124947	0.204074	0.105098	0.272497	0.141866	0.231285
NP_035236.1	11.6055	3.96076	11.2625	14.4893	12.2105	7.22546
NP_035237.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_035239.1	44.2289	1.73084	9.05072	5.50366	27.9908	0.879889
NP_035240.3	5.41368	9.21219	9.22968	12.8148	3.83203	9.49248
NP_035241.1	80.8556	92.9405	79.2635	81.5178	60.1508	37.7031
NP_035243.1	9.33061	5.16742	8.27775	7.98353	7.98274	5.87029
NP_035246.1	52.3167	23.3997	17.0819	35.9757	16.7085	23.1067
NP_035248.2	0.0	0.14085	0.0	0.0	0.0	0.0
