GeneID	Thyroid_rep1	Thyroid_rep2	Thyroid_rep3	Thyroid_rep4	Thyroid_rep5	Thyroid_rep6
XP_038403876.1	2.75776	3.59582	2.96388	1.41771	1.94077	
XP_038403878.1	8.08915	10.7493	6.1046	8.56666	8.29609	
XP_038403883.1	24.7735	27.1277	22.0485	26.0922	23.978	
XP_038403884.1	68.7348	72.4478	73.5819	84.9953	67.3628	
XP_038403885.1	4.92487	4.47152	3.46589	1.43249	3.59018	
XP_038403888.1	0.303365	0.176048	0.16284	0.324429	0.295489	
XP_038403889.1	4.90042	4.51208	4.07175	5.59923	4.76014	
XP_038403894.1	6.77377	10.5263	14.8061	14.0003	7.66126	
XP_038403898.1	31.184	30.3826	32.4914	29.7506	32.0158	
XP_038403900.1	15.4623	9.85061	7.45315	8.74082	10.8866	
XP_038403903.1	0.609395	0.162552	0.457748	0.278497	0.251306	
XP_038403904.1	0.0	0.0	0.0	0.0	0.0	
XP_038403914.1	11.3968	11.7081	17.1536	15.722	10.2658	
XP_038403915.1	15.0586	12.997	11.9002	12.5622	13.1146	
XP_038403917.1	22.8081	21.0193	21.445	23.4029	22.2379	
XP_038403918.1	3.36622	2.76737	1.58519	1.39902	2.5708	
XP_038403920.1	9.83864	9.93857	10.327	10.3157	9.20514	
XP_038403922.1	2.41502	2.41295	3.43057	11.8576	1.02603	
XP_038403925.1	1.70311	1.70669	2.1759	2.53892	1.71689	
XP_038403939.1	0.0	0.0	0.0	0.0	0.0	
XP_038403945.1	1.65315	0.595513	0.518387	0.487851	1.02543	
XP_038403952.1	30.1024	26.9004	27.4179	24.4949	26.3426	
XP_038403953.1	29.9084	31.4062	30.4132	34.388	32.9986	
XP_038403954.1	3.72225	4.78761	5.40845	4.95648	3.65363	
XP_038403955.1	0.0749042	0.0985387	0.0	0.055757	0.0658782	
XP_038403956.1	1.97711	3.14032	4.40414e-06	6.19209	2.92165	
XP_038403964.1	0.166825	0.211392	0.228037	0.0	0.0	
XP_038403972.1	0.0	0.0897524	0.0998376	0.121182	0.176442	
XP_038403973.1	10.075	13.2874	11.2328	16.5784	9.05328	
XP_038403978.1	11.7683	16.8756	18.9851	12.3853	13.1776	
XP_038403984.1	15.697	13.8185	21.6854	26.401	12.1934	
XP_038403986.1	16.5742	14.8355	9.71694	6.87535	8.74603	
XP_038403990.1	0.0	0.0349714	0.263841	0.375548	0.0	
